Variable,Importancia,Modelo
home_pts_f,0.0,Regresion Logistica
home_gf_f,0.0,Regresion Logistica
home_gc_f,0.0,Regresion Logistica
home_dif_f,0.0,Regresion Logistica
away_pts_f,0.0,Regresion Logistica
away_gf_f,0.0,Regresion Logistica
away_gc_f,0.0,Regresion Logistica
away_dif_f,0.0,Regresion Logistica
dif_pts,0.0,Regresion Logistica
dif_gf,0.0,Regresion Logistica
dif_gc,0.0,Regresion Logistica
h2h_v,0.0,Regresion Logistica
h2h_e,0.0,Regresion Logistica
h2h_d,0.0,Regresion Logistica
neutral,0.0,Regresion Logistica
es_wc,0.0,Regresion Logistica
anio,0.0,Regresion Logistica
mes,0.0,Regresion Logistica
home_enc,0.0,Regresion Logistica
away_enc,0.0,Regresion Logistica
