Fecha,Equipo_Local,Equipo_Visitante,Torneo,Goles_Local,Goles_Visitante,Resultado_Real,Prediccion,Prediccion_Correcta,Prob_Derrota,Prob_Empate,Prob_Victoria,Forma_Local_Pts,Forma_Visit_Pts,Dif_Forma_Pts,H2H_Victorias,H2H_Empates,H2H_Derrotas,Campo_Neutral,Tipo_Torneo,Año,Mes,Conjunto_ML,Modelo
1930-07-13,Belgium,United States,FIFA World Cup,0.0,3.0,Derrota,Victoria,0,0.3533,0.0984,0.5484,7,7,0,1,0,0,1,World Cup,1930,7,Entrenamiento,Gradient Boosting
1930-07-13,France,Mexico,FIFA World Cup,4.0,1.0,Victoria,Victoria,1,0.3653,0.1309,0.5037,4,7,-3,0,0,0,1,World Cup,1930,7,Entrenamiento,Gradient Boosting
1930-07-14,Brazil,Yugoslavia,FIFA World Cup,1.0,2.0,Derrota,Victoria,0,0.3381,0.0902,0.5716,7,7,0,0,0,0,1,World Cup,1930,7,Entrenamiento,Gradient Boosting
1930-07-14,Peru,Romania,FIFA World Cup,1.0,3.0,Derrota,Derrota,1,0.7163,0.1175,0.1662,3,9,-6,0,0,0,1,World Cup,1930,7,Entrenamiento,Gradient Boosting
1930-07-15,Argentina,France,FIFA World Cup,1.0,0.0,Victoria,Victoria,1,0.1189,0.113,0.7681,11,6,5,0,0,0,1,World Cup,1930,7,Entrenamiento,Gradient Boosting
1930-07-16,Chile,Mexico,FIFA World Cup,3.0,0.0,Victoria,Victoria,1,0.0979,0.0882,0.814,7,4,3,1,0,0,1,World Cup,1930,7,Entrenamiento,Gradient Boosting
1930-07-17,Bolivia,Yugoslavia,FIFA World Cup,0.0,4.0,Derrota,Derrota,1,0.8804,0.0373,0.0823,0,10,-10,0,0,0,1,World Cup,1930,7,Entrenamiento,Gradient Boosting
1930-07-17,Paraguay,United States,FIFA World Cup,0.0,3.0,Derrota,Victoria,0,0.3362,0.1239,0.5399,10,10,0,0,0,0,1,World Cup,1930,7,Entrenamiento,Gradient Boosting
1930-07-18,Uruguay,Peru,FIFA World Cup,1.0,0.0,Victoria,Victoria,1,0.0622,0.1087,0.8292,5,0,5,2,0,0,0,World Cup,1930,7,Entrenamiento,Gradient Boosting
1930-07-19,Argentina,Mexico,FIFA World Cup,6.0,3.0,Victoria,Victoria,1,0.0728,0.0613,0.8659,13,1,12,0,0,0,1,World Cup,1930,7,Entrenamiento,Gradient Boosting
